,Time,Headlines,Sentiment
29,17-Jul-20,Future of education  'The MIT of the north': how the government plans to transform ex-mining towns,4
30,17-Jul-20,Battery firm chooses Welsh site for Britain's first gigafactory,4
31,17-Jul-20,Netflix shares drop despite positive second-quarter earnings,1
32,17-Jul-20,"Nils Pratley on finance  


  Centrica left it far too late to tackle its problems",2
33,17-Jul-20,Here's another virus terrorising businesses and causing havoc: ransomware,1
34,17-Jul-20,"$11.3bn in IMF Covid-19 money is being used to service debt, says group",1
35,17-Jul-20,A fifth of Brazilian soy in Europe is result of deforestation,1
36,17-Jul-20,Public sector pension discrimination could cost UK taxpayer £17bn,1
37,17-Jul-20,World's largest oil firm agrees to carbon cuts to tackle climate crisis,5
38,17-Jul-20,Boohoo shares rise 12% after co-founders pump £15m into firm,1
39,17-Jul-20,UK government orders halt to Randox Covid-19 tests over safety issues,1
40,16-Jul-20,Canary Wharf traders and landlord bank on return to offices,1
41,16-Jul-20,Number of UK problem gamblers seeking help soars in lockdown,1
42,16-Jul-20,British Gas owner 'using Covid-19 as smokescreen to alter staff contracts',5
43,16-Jul-20,'It's disrupted our entire lives': UK workers on losing their jobs,1
44,16-Jul-20,Business live  China shares suffer biggest fall since February; US jobless claims still high - as it happened,1
45,16-Jul-20,"More than 1,600 UK jobs at risk at casino firm Genting",1
46,16-Jul-20,Royalties investment firm buys catalogue of Lady Gaga collaborator,5
47,16-Jul-20,"Pizza Express to close up to 75 restaurants, risking 1,000 jobs",1
48,16-Jul-20,Rishi Sunak’s Covid-19 package recycled up to £10bn spending – IFS,1
49,16-Jul-20,Next in final stages of buying UK arm of Victoria's Secret,5
50,16-Jul-20,"Human rights in focus  Ethical labels not fit for purpose, report warns consumers",1
51,16-Jul-20,UK banks may have to flag up plans to shut branches or cash machines,1
52,16-Jul-20,1.3m more file for unemployment as US economy continues to reel,5
53,16-Jul-20,Southbank Centre warns of 400 job losses amid coronavirus crisis,1
54,16-Jul-20,UK's hidden problem of rising unemployment may soon be exposed,3
55,16-Jul-20,"UK paid employment falls by almost 650,000 as Covid-19 crisis bites",1
56,16-Jul-20,Banks propose student loan-style scheme for struggling UK businesses,4
57,16-Jul-20,Family fortunes of wealthy increase as super-rich ride coronavirus storm,5
58,16-Jul-20,Treasury mulls plan to set up coronavirus toxic debt body to save UK small businesses,1
59,16-Jul-20,"29% of UK businesses to cut jobs in next three months, survey says",1
60,15-Jul-20,"'Incredible' Boohoo denying knowledge of factory allegations, says MP",1
61,15-Jul-20,Treasury mulls plan to set up coronavirus toxic debt body to save UK small businesses,1
62,15-Jul-20,"Nils Pratley on finance  


  Margrethe Vestager was 100% correct over public mood on Apple tax case",4
63,15-Jul-20,Fear of Pizza Express closures as chain faces takeover by bondholders,1
64,15-Jul-20,'Not much difference': few takers on first day of hospitality VAT cut,2
65,15-Jul-20,Capital gains tax review: your questions answered,5
66,15-Jul-20,Asos considers action against Leicester supplier in ethical audit,3
67,15-Jul-20,Business live  Chancellor Rishi Sunak warns of 'tough choices' to address public finances - as it happened,4
68,15-Jul-20,BBC announces further 70 job cuts in news division,1
69,15-Jul-20,"Claim Amanda Staveley in charge of Abu Dhabi Barclays deal 'a fantasy', court told",1
70,15-Jul-20,Trump claims credit for UK Huawei ban as China says move 'disheartening' – video,1
71,15-Jul-20,Buzz Bingo to close 26 halls across UK with loss of up to 573 jobs,1
72,15-Jul-20,"UK ban on Huawei in 5G network groundless, says Chinese ambassador",1
73,15-Jul-20,UK fast-food and coffee chains cut prices as VAT relief comes into effect,4
74,15-Jul-20,"Apple does not need to pay €13bn Irish tax bill, EU court rules",1
75,15-Jul-20,‘I can’t afford to turn away business’: view from shops on face mask rules,1
76,15-Jul-20,The Number Bias by Sanne Blauw review – how numbers can mislead us,4
77,15-Jul-20,Chinese media calls for 'pain' over UK Huawei ban as Trump claims credit,1
78,15-Jul-20,Matt Hancock rules out mandatory face masks in offices,4
79,15-Jul-20,Burberry to cut 500 jobs worldwide in £55m cost-saving drive,5
80,15-Jul-20,UK inflation rises as game console prices increase in lockdown,1
81,15-Jul-20,BFI diversity standards 'failing to tackle race discrimination in UK film industry',3
82,15-Jul-20,"Your problems, with Anna Tims  Floored as Harveys constantly failed on its promises to deliver",1
83,15-Jul-20,Governments put 'green recovery' on the backburner,4
84,15-Jul-20,The green recovery  UK government planning new green investment bank,4
85,15-Jul-20,Stamp duty cut fuels surge of interest in London commuter belt,5
86,15-Jul-20,"UK energy efficiency push offers just a third of the investment needed, says report",3
87,15-Jul-20,UK launches first online service for groceries in reusable packing,5
88,15-Jul-20,Rishi Sunak's capital gains tax review may usher in higher taxes on wealthy,3
89,15-Jul-20,Virgin Atlantic: a successful non-intervention by the Treasury,1
90,15-Jul-20,The Guardian view on Covid-19 economics: the austerity con of deficit hysteria,1
91,15-Jul-20,Former Barclays boss apologises for Amanda Staveley 'tart' reference,1
92,15-Jul-20,Hospitality VAT cut may not be passed on to UK consumers,1
93,15-Jul-20,Oprah Winfrey and Jay-Z tap into rising alt-milk star Oatly,5
94,15-Jul-20,"Weak recovery could make unemployment worse than 1980s levels, warns OBR",2
95,15-Jul-20,Treasury forecaster's three stark predictions for Britain's economy,4
96,15-Jul-20,UK accounting firms criticised by watchdog for ‘unacceptable’ work,1
97,15-Jul-20,Business live  Hopes for V-shaped recovery fade as UK economy grows 1.8% in May - as it happened,2
98,15-Jul-20,Virgin Atlantic agrees £1.2bn rescue deal amid coronavirus slump,1
99,15-Jul-20,Ireland could randomly test tourists from high-risk countries for Covid-19,3
100,14-Jul-20,British Airways to sell art collection to ease Covid-19 pressures,4
101,14-Jul-20,UK's growth figures dim hopes of V-shaped recovery from Covid-19,2
102,14-Jul-20,Flood strategy 'at odds with Boris Johnson push for mass housing',4
103,14-Jul-20,"UK economy may not recover until end of 2022, Treasury forecaster warns",1
104,14-Jul-20,Face masks 'will deter young shoppers' says JD Sports chairman,1
105,14-Jul-20,Ocado has waiting list of 1 million customers wanting to sign up,1
106,14-Jul-20,"Huawei to be stripped of role in UK's 5G network by 2027, Dowden confirms",1
107,14-Jul-20,"End of the office: the quiet, grinding loneliness of working from home",5
108,14-Jul-20,Britain's economy returns to growth more slowly than expected,5
109,14-Jul-20,"Sunak’s Covid-19 package may not be value for money, warns Treasury economist",1
110,14-Jul-20,UK retail sales in June show signs of recovery after covid lockdown,1
111,14-Jul-20,The fast fashion fix: 20 ways to stop buying new clothes for ever,5
112,14-Jul-20,Government hopes cut in red tape will triple UK's battery capacity,4
113,14-Jul-20,"After mixed messages and mess-ups, Johnson bows to the inevitable",2
114,14-Jul-20,UK's expected U-turn on Huawei fails to satisfy Tory rebels,1
115,14-Jul-20,"Nils Pratley on finance  


  Sunak cannot just hope other big firms will follow Primark's furlough stance",3
116,14-Jul-20,Asda equal pay dispute goes to UK supreme court in virtual hearing,1
117,14-Jul-20,Boohoo shares drop 18% as new Leicester factory reports threaten sales,1
118,14-Jul-20,Nationwide to offer low-deposit mortgages after stamp duty move,1
119,14-Jul-20,"Grogonomics  


  To make jobseeker fit for purpose, its temporary rise should be permanent",4
120,13-Jul-20,Offshore wind energy investment quadruples despite Covid-19 slump,2
121,13-Jul-20,Halfords to close up to 60 sites despite rise in bike sales in lockdown,1
122,13-Jul-20,Business live  Markets strengthen amid economic recovery hopes - as it happened,4
123,13-Jul-20,What is Huawei and why is its role in UK's 5G so controversial?,1
124,13-Jul-20,"G4S planning more than 1,000 job losses in cash-handling services",1
125,13-Jul-20,Johnnie Walker maker creates plastic-free paper-based spirits bottle,5
126,13-Jul-20,Gold trade body urged to suspend refinery over alleged abuses in Tanzania,1
127,13-Jul-20,Work begins in Lincolnshire on world's longest subsea power cable,5
128,13-Jul-20,Quiz suspends clothing supplier over Leicester subcontractor concerns,1
129,13-Jul-20,BT boss warns of outages and security risks if UK ditches Huawei,1
130,13-Jul-20,"Three in four UK firms unprepared for Brexit, study shows",1
131,13-Jul-20,UK tobacco sales fell faster after plain packaging rules came into force,2
132,13-Jul-20,"Shoppers shun high streets in England and Northern Ireland, data shows",4
133,13-Jul-20,Bono campaign group accuses UK of wasting international aid budget,1
134,13-Jul-20,"Project Syndicate economists  


  Covid-19 is no excuse for sovereign creditors to move the goalposts on debt",1
135,13-Jul-20,Super-rich call for higher taxes on wealthy to pay for Covid-19 recovery,5
136,13-Jul-20,Priti Patel to unveil details of post-Brexit immigration plans,5
137,13-Jul-20,Primark turns down £30m windfall from job retention bonus,1
138,13-Jul-20,Post-furlough sums don’t add up for me,2
139,13-Jul-20,Corporations begin cautious return to UK offices after lockdown,1
140,12-Jul-20,"Economics viewpoint  


  Until Covid-19 uncertainty melts away there's little chance of full economic recovery",2
141,12-Jul-20,Of course there's a future for the British fishing industry – on stage,4
142,12-Jul-20,The simplest way to close the racial wealth gap? Direct cash payments,1
143,12-Jul-20,Enough of the psychobabble. Racism is not something to fix with therapy,2
144,12-Jul-20,‘They just got away with paying men more …’ Milestone looms in Asda equal pay fight,5
145,12-Jul-20,Precious metal: the gold-standard investment when a crisis hits?,5
146,12-Jul-20,"The shifting patterns of English  


  May I have a word about… why it’s a bloodbath on the streets",2
147,12-Jul-20,"Observer business agenda  Sunak will say things are looking up, but OBR has less faith in a rebound",3
148,12-Jul-20,"Business leader  


  Investors are selling Boohoo shares now. They could have intervened far earlier",3
149,12-Jul-20,Is too much trade at stake for Britain to stand up to Beijing?,2
150,12-Jul-20,Where in Britain does China spend its money?,1
151,12-Jul-20,"Electric cars: five best buys, from new models to used bargains",5
152,12-Jul-20,Boris Johnson urged to clarify message on wearing face masks in shops,1
153,12-Jul-20,Covid-19 has revealed a pre-existing pandemic of poverty that benefits the rich,4
154,12-Jul-20,"‘My parents helped me pack lube’: from sex toys to bidets, the lockdown businesses that boomed",5
155,12-Jul-20,'Pensioners are already suffering': responses to the summer statement,1
156,12-Jul-20,"Leicester factory put lives at risk during lockdown, claims garment worker",1
157,12-Jul-20,Vast Brexit customs clearance centre to be built in Kent,5
158,12-Jul-20,G4S fined £44m by Serious Fraud Office over electronic tagging,1
159,12-Jul-20,The billionaire Boohoo family who started with a market stall in Manchester,5
160,10-Jul-20,Estate agents in England report surge of interest as tax cut spurs on homebuyers,5
161,10-Jul-20,Boohoo shareholder sells off shares in firm worth nearly £80m,1
162,10-Jul-20,West End landlord collects less than a third of rent in June,1
163,10-Jul-20,UK travel companies 'must comply with laws on refunds or face legal action',1
164,10-Jul-20,Boohoo co-founder Jalal Kamani linked to Leicester garment factory,5
165,10-Jul-20,Divided Libya to restart oil production after six-month shutdown,1
166,10-Jul-20,"Business live  England gets ready to reopen gyms, pools and nail bars as Covid-19 lockdown eases - as it happened",5
167,10-Jul-20,The age of extinction  Boris Johnson says newts are a drag on the UK’s economy. Here’s why he’s wrong,1
168,10-Jul-20,"Gyms, pools and nail bars: what the new rules in England allow",5
169,10-Jul-20,Other lives  Mike Wilson obituary,3
170,10-Jul-20,Julia Sawalha furious after being told she is 'too old' for Chicken Run sequel,1
171,10-Jul-20,‘This isn’t really Somerset’: how the rich took over Bruton,3
172,10-Jul-20,Royal Mail fined £1.6m for late deliveries and stamp overcharging,1
173,10-Jul-20,Culture in peril  Coronavirus: hospitality VAT cut will apply to concerts and music festivals,1
174,10-Jul-20,One in 10 of Restaurant Group outlets will not reopen this year,1
175,10-Jul-20,How will we know the US economy is recovering? Here's what I'm watching,5
176,10-Jul-20,Gym Group to reopen most branches in England from 25 July,5
177,10-Jul-20,Pubs and restaurants in England trade at half their pre-virus levels,2
178,10-Jul-20,"Nils Pratley on finance  


  Sharon White's radicalism at John Lewis is sorely needed",3
179,10-Jul-20,US push to ease global energy controls as it hands fossil fuels $3bn,5
180,9-Jul-20,Boohoo shares bounce back after pledge to improve factory conditions,1
181,9-Jul-20,Kent airport gets green light to reopen as international hub,4
182,9-Jul-20,"Business live  Boots to cut 4,000 jobs as John Lewis to shut eight stores, putting 1,300 jobs at risk - as it happened",1
183,9-Jul-20,Seven ways to help garment workers,5
184,9-Jul-20,"Boots and John Lewis to cut 5,300 jobs and close stores",5
185,9-Jul-20,'Left in limbo': Leicester fears local lockdown will go on until mid-August,1
186,9-Jul-20,Man arrested in Solihull over suspected £500k furlough fraud,1
187,9-Jul-20,'No masks': Wagamama criticised over Rishi Sunak photo op,1
188,9-Jul-20,'Phones ringing off the hook' at estate agents after stamp duty cut,1
189,9-Jul-20,"Barclays bosses wrote Amanda Staveley off as 'dolly bird', court told",1
190,9-Jul-20,"Sunak's jobs policies badly timed and poorly targeted, says IFS",1
191,9-Jul-20,Our film critic's first drive-in: 'I quietly squeak with excitement',4
192,9-Jul-20,Rolls-Royce burned through £3bn in cash owing to Covid-19 crisis,1
193,9-Jul-20,The pelvic mesh scandal makes it clear: doctors must declare any funding,1
194,9-Jul-20,"Boots to cut 4,000 jobs and close stores after dramatic fall in shopper numbers",1
195,9-Jul-20,Workers fight back as US hotels try to lay off staff and hire on the cheap,1
196,9-Jul-20,Second administrator to scrutinise Laura Ashley collapse,1
197,9-Jul-20,Summer statement 2020: IFS airs doubts on 'unprecedented' UK economic stimulus,2
198,9-Jul-20,"John Lewis shuts eight stores with expected loss of 1,300 jobs",1
199,9-Jul-20,China has shown it is willing to pay the economic price of suppressing Hong Kong,3
200,9-Jul-20,Uber Eats to deliver your supermarket shopping with Asda tie-up,5
201,9-Jul-20,"Ofgem's £25bn plan puts climate goals at risk, say energy firms",1
202,9-Jul-20,NBN Co to sack 800 workers as ‘initial build’ of network finishes after 10 years,1
203,9-Jul-20,Today in Focus  The Leicester garment factories exposed by Covid-19,5
204,9-Jul-20,"Rio Tinto smelter in New Zealand to close with loss of 1,000 jobs",1
205,9-Jul-20,UK housing market's post-lockdown bounce 'might run out of steam',1
206,9-Jul-20,Mass unemployment feared despite Rishi Sunak's 'plan for jobs',1
207,9-Jul-20,'There are too many uncertainties': reactions to the summer statement,3
208,9-Jul-20,International aviation and shipping likely to be added to UK's net zero carbon target,4
209,9-Jul-20,Chancellor's 'eat out to help out' plan: how to get value for money,4
210,9-Jul-20,Unions urge Rishi Sunak to do more on unemployment,1
211,9-Jul-20,"VAT cut for restaurants, pub meals and hotels: what will it mean for you?",4
212,9-Jul-20,Chancellor's stock peaks with 'nudge' summer statement,3
213,9-Jul-20,'Not what a green recovery looks like': Rishi Sunak's plan gets mixed response,3
214,9-Jul-20,"Stamp duty holiday may revive housing market, say experts",3
215,9-Jul-20,"Politics live with Andrew Sparrow  UK coronavirus live: Rishi Sunak unveils stamp duty cut, furlough bonus and August discount for eating out – as it happened",5
216,9-Jul-20,UK business leaders warn over closure of furlough scheme,1
217,9-Jul-20,Boohoo to launch independent review of UK supply chain,1
218,9-Jul-20,"May worst month for Covid-19 impact on UK job market, ONS figures show",1
219,9-Jul-20,Devolved nations call on Treasury for billions in extra spending,1
220,8-Jul-20,Boohoo must take fashion more seriously after factory scandal,1
221,8-Jul-20,Scotland to keep 14-day quarantine for travellers from Spain,4
222,8-Jul-20,UK nominates Liam Fox to lead World Trade Organization,5
223,8-Jul-20,Rishi Sunak unveils stamp duty holiday and hospitality VAT cut,5
224,8-Jul-20,"Ryanair to keep on UK-based crew in return for pay cuts, say unions",1
225,8-Jul-20,"Tati, much-loved French retailer, shuts up shop in Paris after 70 years",5
226,8-Jul-20,Summer statement 2020: the chancellor's key points at a glance,4
227,8-Jul-20,FirstGroup could cease trading as coronavirus hits passenger levels,1
228,8-Jul-20,Grant Thornton fined over Conviviality audit failures,1
229,8-Jul-20,Activists see Purdue bankruptcy case as last chance to call Sacklers to account,1
230,8-Jul-20,Uber to launch London commuter boat service with Thames Clippers,5
231,8-Jul-20,147 new Australian Covid-19 cases – as it happened,5
232,8-Jul-20,Stop trying to fight racism with corporate diversity consultants,1
233,8-Jul-20,Summer statement: Rishi Sunak plans temporary job creation scheme for under-25s,4
234,8-Jul-20,Summer statement: the UK's Covid-19 economic crisis in five key charts,4
235,8-Jul-20,How Rishi Sunak could kickstart UK's post-lockdown economy,5
236,8-Jul-20,"Scam calls will rise as lockdown eases, says trading standards body",2
237,8-Jul-20,"Next, Asos and Amazon drop Boohoo amid Leicester factory claims",1
238,8-Jul-20,"Nils Pratley on finance  


  No business need at all now for a Chinese nuclear plant in the UK",1
239,8-Jul-20,Thousands of Jaguar Land Rover logistics workers to lose jobs,1
240,7-Jul-20,Deutsche Bank to pay $150m fine to settle charges linked to Epstein dealings,1
241,7-Jul-20,Crime fiction boom as book sales rocket past 2019 levels,5
242,7-Jul-20,Business live  Markets slide as EC predicts deeper eurozone recession - as it happened,2
243,7-Jul-20,JD Sports warehouse in Rochdale hosts mobile Covid-19 lab after positive tests,4
244,7-Jul-20,The pandemic has exposed the dark underside of fast fashion's supply chains,5
245,7-Jul-20,"Lockdown living  


  Fast fashion creates misery – and that's always a bad look",1
246,7-Jul-20,New Welsh factory at risk as Jim Ratcliffe's Ineos looks to make cars in France,1
247,7-Jul-20,Halfords predicts bicycle boom to continue for 2020,3
248,7-Jul-20,"UK house prices fell for fourth month in a row, says Halifax",1
249,7-Jul-20,"'We squandered a decade': world losing fight against poverty, says UN academic",1
250,7-Jul-20,'People say we don’t exist': the scandal of excluded black architects,1
251,7-Jul-20,"Europe faces deep recession and UK will shrink by 10%, says EC",1
252,7-Jul-20,Boohoo shareholders demand answers after shares plunge by a third,1
253,7-Jul-20,"Over 5,600 fossil fuel companies have taken at least $3bn in US Covid-19 aid",1
254,7-Jul-20,Empathy machines: what will happen when robots learn to write film scripts?,4
255,7-Jul-20,UK jobless rate 'could near 15% in second coronavirus wave',1
256,7-Jul-20,"UK hotel bookings returning after Covid-19 slump, says Premier Inn owner",1
257,7-Jul-20,Mirror and Express owner Reach to cut 550 jobs,1
258,7-Jul-20,"Treasury's 'green recovery' not enough, say campaigners",1
259,7-Jul-20,Tory ministers from 1980s fear return to mass unemployment,1
260,6-Jul-20,Gambling charity urges UK banks to improve card blocking systems,4
261,6-Jul-20,Multibillion-dollar gas projects in jeopardy as global market collapses,5
262,6-Jul-20,"Jonathan Sackler, joint owner of opioid maker Purdue Pharma, dies aged 65",1
263,6-Jul-20,"Nils Pratley on finance  


  Departure of Horta-Osório no bad thing for Lloyds at this time",3
264,6-Jul-20,More than £1bn wiped off Boohoo value as it investigates Leicester factory,1
265,6-Jul-20,Business live  UK car sales weakest since 1971; US service sector strengthens - as it happened,2
266,6-Jul-20,Aviva appoints Amanda Blanc as chief executive,5
267,6-Jul-20,Pret a Manger: full list of stores to close,1
268,6-Jul-20,Giant flywheel project in Scotland could prevent UK blackouts,5
269,6-Jul-20,UK construction sector rebounds amid plan for stamp duty holiday,3
270,6-Jul-20,Hollywood stars to be exempt from UK's coronavirus quarantine rules,1
271,6-Jul-20,"Pret a Manger to close 30 stores and could cut more than 1,000 jobs",1
272,6-Jul-20,UK’s big accountancy firms told to split off audit arms by 2024,1
273,6-Jul-20,Only bold state intervention will save us from a future owned by corporate giants,1
274,6-Jul-20,Lloyds chief António Horta-Osório to step down next year,1
275,6-Jul-20,Why the Covid-19 financial crisis will leave lasting scars on Gen Z,1
276,6-Jul-20,Consumer champions  Sky TV charged my mother a fortune and she can’t leave,5
277,6-Jul-20,From dusted-off bikes to electric dreams: UK green economy booms on back of Covid-19,5
278,6-Jul-20,Chancellor under pressure to boost financial support as job crisis looms,4
279,6-Jul-20,UK banks prepare code of conduct on defaulting of Covid-19 business loans,1
280,5-Jul-20,Scammers can create fake business ads on Google 'within hours',1
281,5-Jul-20,Thames Water former boss handed £2.8m since being sacked,1
282,5-Jul-20,Lifting of lockdown in England: how do you feel reopening has gone?,1
283,5-Jul-20,"Economics viewpoint  


  Fifteen years after the G8 summit, it's the UK that's in dire need of aid",3
284,5-Jul-20,Evening footfall on England's high streets soars as pubs reopen,4
285,5-Jul-20,'They've been missed': Cornwall welcomes first tourists of summer,5
286,5-Jul-20,"For small business owners, the pandemic proves it: millennials were right",4
287,5-Jul-20,"Honey, I shrunk the shopping: the rise of mini products as children's toys",5
288,5-Jul-20,Travel agents resort to hardline tactics to get out of a refund,1
289,5-Jul-20,Wouldn’t it be great for British town centres if people could just move into closed shops?,3
290,5-Jul-20,"Notebook  


  Have a heart, KitKat, don't break with Fairtrade",5
291,5-Jul-20,"Business leader  


  Big Tech may not be afraid of a boycott. But it might fear a regulator",4
292,5-Jul-20,"Hidden gems from the world of research  


  We might never get over the fear that the pandemic induced",5
293,5-Jul-20,Sunak considers £500 vouchers for all UK adults to spend in Covid-hit firms,1
294,5-Jul-20,Donald Trump rushed to reopen America – now Covid is closing in on him,1
295,5-Jul-20,The Observer view on the reopening of the economy,4
296,5-Jul-20,Letters: recovery plan must not endanger the Earth,5
297,5-Jul-20,I left my heart in the Luton airport branch of Bella Italia ...,1
298,5-Jul-20,Observer business agenda  Rolls-Royce faces a long haul back to high-flier status,4
299,5-Jul-20,"Huawei could be cut out of UK's 5G network this year, say reports",1
300,4-Jul-20,The Bank of England has many battles ahead. Inflation will not be one of them,2
301,4-Jul-20,"VAT, NICs … what will Rishi Sunak’s summer statement target?",1
302,4-Jul-20,"The Covid crisis made Rishi Sunak a star, but it could yet undo him",4
303,4-Jul-20,English pubs pour first pints for customers since lockdown began,5
304,4-Jul-20,Debt: 'The first step towards change is admitting you have a problem',1
305,4-Jul-20,Boohoo booms as Leicester garment factories are linked to lockdown,1
306,4-Jul-20,"England eases lockdown: how pubs, hairdressers and restaurants will work",5
307,4-Jul-20,Banking apps: what do they offer – and how is your cash protected?,5
308,4-Jul-20,UK manufacturers to export surplus medical ventilators,1
309,4-Jul-20,"Leicester residents could be fined up to £3,200 for breaching new lockdown laws",1
310,4-Jul-20,Queenstown: a tourist town with no tourists fights despair among stranded workers,4
311,4-Jul-20,"Struggling retailers paid less than a third of June rent, says malls owner",1
312,4-Jul-20,Mission impossible? How to shoot a blockbuster in the coronavirus era,1
313,4-Jul-20,"Amid the havoc wreaked by coronavirus, there is another danger we've forgotten",1
314,4-Jul-20,"Gin, cheese and coffee: Britons flock to subscription services in lockdown",1
315,4-Jul-20,‘A bit of trepidation’: Lake District prepares to reopen to visitors,4
316,4-Jul-20,"Business live  UK service sector slump levels off, as China growth surges - as it happened",2
317,4-Jul-20,UK waste firm Biffa loses appeal after exporting dirty waste to China,1
318,4-Jul-20,Poundstretcher could close half its stores under rescue deal,1
319,4-Jul-20,Socially distanced outdoor music venue to open in Newcastle in August,1
320,3-Jul-20,Tenby residents feel mixed emotions about tourists' return,1
321,3-Jul-20,China's stock market closes at highest level in five years,5
322,3-Jul-20,Some small businesses can't get past their own prejudice. Let them fold,1
323,3-Jul-20,UK car loans and pawnbroker payments freeze extended,3
324,3-Jul-20,Holidaymakers offered little or no coronavirus-related insurance,1
325,3-Jul-20,"Nils Pratley on finance  


  Why the secrecy around financial terms of Covid-19 loan to Celsa Steel UK?",1
326,3-Jul-20,Barclays: Qataris spoke to Gordon Brown to 'defuse 2008 bailout pressure',1
327,3-Jul-20,Unions say Coalition's 'demonising' of unemployed is groundwork for Covid-19 welfare cuts,1
328,3-Jul-20,Mark Zuckerberg: advertisers' boycott of Facebook will end 'soon enough',1
329,3-Jul-20,Behind the 4.8m jobs that returned: key takeaways from June’s US jobs report,1
330,3-Jul-20,Luton airport to make up to 250 staff redundant,1
331,3-Jul-20,"Bella Italia owner falls into administration, with loss of 1,900 jobs",1
332,3-Jul-20,Boris ‘the Builder’ Johnson has found a new scapegoat: the humble newt,4
333,3-Jul-20,Business live  Markets rally as US unemployment rate falls to 11.1% - as it happened,1
334,3-Jul-20,Tobacco firm funded attack on council quit-smoking services,1
335,3-Jul-20,"$10bn of precious metals dumped each year in electronic waste, says UN",1
336,3-Jul-20,Revealed: raw sewage poured into Olympic Park wildlife haven,1
337,3-Jul-20,UK gives go-ahead to giant windfarm project off Norfolk coast,4
338,3-Jul-20,US employers take back 4.8m workers as coronavirus threatens economic recovery,1
339,3-Jul-20,Jordan bans smoking and vaping in indoor public spaces,1
340,2-Jul-20,UK government development bank to end fossil fuel financing,4
341,2-Jul-20,"Project Syndicate economists  


  Invest in the green economy and we'll recover from the Covid-19 crisis",4
342,2-Jul-20,Primark loses £800m in Covid-19 lockdowns,1
343,2-Jul-20,"UK should prioritise green projects to kickstart economy, says IMF",3
344,2-Jul-20,"Fears grow for UK high street as more than 6,000 retail jobs cut in a day",1
345,2-Jul-20,"Nils Pratley on finance  


  As the Hong Kong security law comes into force, HSBC's silence is deafening",2
346,2-Jul-20,Pressure mounts on UK government to release list of 'air bridges',1
347,2-Jul-20,Richard Branson to pump £200m into Virgin Atlantic as part of rescue package,5
348,2-Jul-20,Tesla becomes world's most valuable carmaker without making a profit,5
349,2-Jul-20,Accenture to cut up to 900 UK jobs as pandemic hits demand,1
350,2-Jul-20,UK retail landlords squeezed as stores hit by Covid-19 crisis,1
351,2-Jul-20,Ministers urged to limit Facebook and Google's power over ad market,1
352,2-Jul-20,"Business live  UK house prices fall as Covid-19 job losses surge, but US employment rises - as it happened",2
353,2-Jul-20,England's privatised water firms paid £57bn in dividends since 1991,1
354,2-Jul-20,One man's fight to get bathing water status for a stretch of river near Bath,1
355,2-Jul-20,England's sewerage: what the water companies have to say,5
356,2-Jul-20,Ryanair pilots agree to 20% pay cut in attempt to limit job losses,1
357,2-Jul-20,Tony Pidgley obituary,4
358,2-Jul-20,Banking watchdog drops threat of inquiry into overdraft charges,1
359,2-Jul-20,Sainsbury's reports rise in grocery sales and surge in online orders,5
360,1-Jul-20,France bans Dutch bike TV ad for creating 'climate of fear' about cars,1
