date,articles
2017-01-11,"[""Apple, Google, Tesla ranked world's most innovative companies: BCG - CNBC"", 'No, a Tesla didn’t predict an accident and brake for it - Robohub', 'Tesla ""Ludicrous+"" Update Gives Model S P100D a 0-60 of 2.4 ... - Road & Track', 'Ultra-fast charging networks to challenge Tesla Superchargers - TESLARATI', 'Tesla Model 3 prototype had a rare outing at the Gigafactory last week - Electrek', 'Tesla is now adding new stalls to existing Supercharger stations as ... - Electrek', 'China’s Anti-Teslas: Cheap Models Drive Electric Car Boom - Fortune', ""Will Tesla's Battery Investment Win It The Inside Track Against The Germans? - Forbes"", ""Why Faraday Future's luxury electric car is named FF 91 - Green Car Reports"", 'Prototype Drive: Automated BMW 5-series at CES - Car and Driver', 'Gionee launches Steel 2 with quad-core CPU, 4000mAh battery - GSMArena.com', '蘋果Swift語言發明人Chris Lattner跳槽到Tesla - iThome', 'Samsung Galaxy J3 (2017) is now Wi-Fi certified and inching ... - GSMArena.com', 'SpaceX reveals details on Falcon Heavy landing pad and Dragon facility, in new report - TESLARATI', ""Sony's 2018 flagship Xperia smartphone might have an OLED display - GSMArena.com"", ""Watching a Golf Sportsvan Acceleration Test Is Boring, But It's the ... - autoevolution""]"
2017-01-12,"['Tesla releases the details of its new Supercharger Credit program - Electrek', 'Def Leppard, Poison, Tesla Announce Huge U.S. Summer Tour - Rolling Stone', 'Resch lands Def Leppard, Poison, Tesla tour stop - Green Bay Press Gazette', 'DEF LEPPARD Announces North American Tour With POISON And ... - BLABBERMOUTH.NET', 'Tesla is rolling back the recent Autopilot restriction to follow the ... - Electrek', ""Using Tesla's Ludicrous Mode Too Often May Lose You Power - Torque News"", 'Self-driving cars by 2021: PHOTOS, FEATURES - Business Insider', ""120 years ago, city celebrated 'weird electric genius' Tesla - Buffalo News"", 'Tesla scoops Apple exec to head autonomous tech - CarsGuide', 'Installing a Tesla Model S Refresh Fascia with Unplugged Performance - TESLARATI', ""Tesla Model 3 Prototype Reminds Us It's Kind of a Weird Car in ... - autoevolution"", ""Up Close With Faraday Future's FF91 Luxury Electric Limo - WIRED"", 'J.K. Rowling just burned Donald Trump for the 2nd time in 24 hours - Mashable', 'This Is the Sound That Sells Fast Jaguars - Road & Track', 'The Focus RS-Powered Avatar Roadster Is the Latest British Track ... - Road & Track', '2017 Honda Clarity Fuel Cell Quick Drive Review: Full Circle - MotorTrend', 'So Much for L.L.Bean Staying Out of Politics - Bloomberg', 'UNAM to help Mexico City with rainwater-harv... - BNamericas English', 'Everybody Wants to Build Your New Best Friend - Popular Mechanics', 'C-SPAN Was Briefly Interrupted by a Russian News Network - Fortune']"
2017-01-13,"['Tesla Supercharger fees kick in this week for new buyers - Autoweek', ""If you're buying a new Tesla, here's how much Supercharging will cost you - Autoblog"", 'Tesla reduces price of the 75 kWh battery upgrade by 22% for some ... - Electrek', 'Tesla Model S P100D’s 0-60 mph in 2.4 Seconds – Tested - duPont REGISTRY', ""Tesla Decides It's OK for Autopilot to Let You Speed Again - Road & Track"", 'Tesla removes Autopilot speed limit after users whine on Twitter - Yahoo! Voices', 'Tesla discontinues ventilated seat option in Model S and X - Electrek', 'Porsche Mission E electric car Tesla rival: PHOTOS, FEATURES - Business Insider', 'Bill Gates follows Musk into cleantech with $1 billion Breakthrough Energy Ventures fund - TESLARATI', 'Renault expands its lineup of all-electric commercial vehicles ... - Electrek', 'Four West Coast mayors want a group deal on 24,000 new EVs - Autoblog', ""Neon is an experimental web browser that's filled with glorious ... - Mashable"", 'Wileyfox releases Swift 2X with 5.2” FullHD display - GSMArena.com']"
2017-01-14,"['Electric GT unveils stripped-down Tesla Model S P100D with 2.0 ... - Electrek', 'Tesla may not be able to afford to make Model 3 - Business Insider', 'Department of Defense Calls for Biodegradable Bullets That Sprout Plants - Fortune', 'Google Play app revenue up 82% in Q4 2016, 60% growth for the ... - GSMArena.com']"
2017-01-15,"[""Here's what it will cost to charge Tesla cars at company's ... - The Christian Science Monitor"", 'Controversial Author Claims Tesla for Montenegro - Balkan Insight', ""9 Facts You Didn't Know About Driverless Cars - The Motley Fool"", ""Volkswagen's modern Microbus remake, and more in the week that was - Engadget"", 'Diesel cars to be banned from Oslo city centre - Financial Times']"
2017-01-16,"['Tesla owner gets stranded in the desert after relying on phone to ... - Mashable', 'How high a hill could recharge a coasting Tesla electric car ... - Green Car Reports', 'This Tesla Model S Goes 0-60 Faster Than a Bugatti - AutoGuide', 'Tesla allows self-driving cars to break speed limit, again - The Guardian', 'Tesla Gigafactory Will Use Massive 70 MW Solar Array - Digital Trends', 'Kia Stinger May Try To Rival Tesla Model 3 With Electric Variant - CarScoops', 'Samsung Galaxy S8 front-camera to have AF and iris recognition - GSMArena.com', 'An all-electric car completed the Dakar rally for the first time - Electrek', 'Oppo R6091 with MediaTek MT6750T SoC and Android ... - GSMArena.com', ""Obama made Kenyan artist's name, but Trump portraits fizzle - Yahoo Finance"", 'ZTE Blade A2 with Android 6.0 spotted on GFXBench - GSMArena.com', ""BMW Not Threatened by Trump's Big Border Tax - AutoGuide""]"
2017-01-17,"['Tesla Will Make Electric Motors for the Model 3 at Its Massive Gigafactory - Fortune', ""The World's First Tesla Race Car Does 0-60 in 2.1 Seconds - Road & Track"", ""Tesla Autopilot wasn't engaged in fatal 31-vehicle pile-up in ... - Electrek"", 'Tesla Driver Stranded In The Desert After Keyless Smartphone App Loses Service - CarScoops', 'MP asks Elon Musk to build Tesla plant in Ukraine - Jan. 17, 2017 - Kyiv Post', ""Chris Lattner Says Opportunity to Work on Tesla's Ambitious Self ... - MacRumors"", 'Tesla to start replacing passenger airbags in all 2012 Model S ... - Electrek', 'A peek at the European Motor Show in Belgium - USA TODAY', '2018 Mini JCW Countryman Photos and Info – News – - Car and Driver', 'Lenovo admits turning Motorola fortunes around is harder than it ... - GSMArena.com', 'LG X300 goes official: 5-inch 720p display, Snapdragon 425, Nougat - GSMArena.com']"
2017-01-18,"['Tesla investing $350 million in Gigafactory, hiring 500 workers - Business Insider', 'Tesla adds service center to Jacksonville facilities - The Florida Times-Union', 'New Tesla Supercharger tool is best way to calculate and visualize ... - Electrek', ""Faraday Future, once seen as a 'Tesla-killer,' is said to be in shambles as cash runs low and executives flee - Yahoo Finance"", 'Faraday Future FF 91 electric car to cost almost $300,000? - Green Car Reports', ""German Authorities Say Tesla's Autopilot Was Not A Factor In Fatal ... - AutoSpies.com"", ""Tesla Model S Driver Gets Stuck in the Desert and It's Not Why You ... - autoevolution"", 'Used Teslas Get Added Value As Unlimited Charging Ends – News - Car and Driver', 'How Tesla worked with suppliers to scale production from hundreds ... - Supply Chain Dive', 'Audi hopes to beat Tesla in Chinese electric car market - TESLARATI', ""Tesla's new VP of Autopilot Software explains why he made the ... - Electrek"", ""Not a Flower, Maybe a Car, Definitely Electric: It's the Dendrobium! - Car and Driver"", 'Chris Lattner - Electrek', 'When It Comes to Safety, Autonomous Cars Are Still ""Teen Drivers"" - Scientific American', 'Ashley Judd refuses to be bullied by online abuse in this defiant ... - Mashable', 'Chevy Bolt EV Distribution Plan — Nationwide Ordering By July, Deliveries By September - CleanTechnica', 'vivo V5 Lite unveiled too with lower-end specs - GSMArena.com']"
2017-01-19,"[""Tesla's Self-Driving System Cleared in Deadly Crash (Published 2017) - The New York Times"", 'Driver in fatal Tesla Autopilot crash had seven seconds to take action - The Verge', 'No recall after fatal Tesla crash in Levy County - Gainesville Sun', 'Tesla Model S P100D Ludicrous+ - New Tesla 0-60 Acceleration - Road & Track', 'Tesla Model S P100D runs a 2.389-second 0-60mph time with Ludicrous+ update - TechCrunch', 'Model S P100D runs 0-100 in 2.3 sec with latest update - TweakTown', 'Tesla analyst Adam Jonas raises rating on stock, shares rise - Business Insider', 'Tesla Albums Ranked Worst to Best - Ultimate Classic Rock', 'Jade Brickell penthouse asks $7M, includes Tesla Model X - Curbed Miami', 'Facelifted Brilliance V3 Is Going Full Tesla Touch Screen - CarNewsChina.com', 'The Electric Car 0-60 Obsession Is Stupid And Useless And Grow ... - Jalopnik', 'Chevy Bolt EV owner claims his new car crashed on its own into his ... - Electrek', 'Watch Russell Westbrook commit quite possibly the funniest ... - Mashable', 'The Story Behind the One-Off Mazda 6 and RX-8 Convertibles – News - Car and Driver', 'Volkswagen XL1 for Sale: Would You Pay €120000 for 48 HP? - autoevolution', 'Xiaomi launches Snapdragon 625-powered Redmi Note 4 - GSMArena.com', 'Samsung Galaxy J7 (2017) passes FCC certification - GSMArena.com', 'New LG G6 leaked renders show it inside a case - GSMArena.com', 'Google resolves Android 7.1.1 in-car Bluetooth problem, update ... - GSMArena.com', 'The Hidden Art Deco Tunnel Underneath the New Yorker Hotel - Atlas Obscura']"
2017-01-20,"['Tesla Model S cleared by auto safety regulator after fatal Autopilot crash - The Guardian', 'Investigation Concludes Tesla Not at Fault in Self-Driving Car Crash - Insurance Journal', ""NHTSA Clears Tesla's Autopilot System After Florida Crash - MotorTrend"", 'Tesla now offers a 100D Model S and Model X with extended range - TechCrunch', 'Tesla continues to streamline Model S and Model X production processes - TESLARATI', ""Tesla's latest 100D models focus on range, not power - Engadget"", ""Tesla's Ludicrous Mode takes on Faraday Future and wins - Wired.co.uk"", 'What Does the Tesla Logo Represent? Elon Musk Just Confirmed ... - Inverse', 'Cost of electric vehicle batteries is getting cheaper: CHART - Business Insider', ""Elon Musk's surprising secret weapon: Trump? - CNN.com"", 'Tesla Adds Model S 100D and Model X 100D – News - Car and Driver', 'Batteries for Tesla and other electric car makers are getting cheaper - Yahoo Finance', 'Unicorn ramen is real - Mashable', ""George W. Bush struggled with his poncho during Trump's inauguration ceremony - Yahoo Finance"", '2018 Ford Mustang Convertible: Renewed Droptop - Car and Driver', 'ZUK Z2 owners also get ZUI 2.5 update based on Nougat - GSMArena.com', 'This multiplex chain will screen movies of your choice, at your ... - Mashable', 'Can a Luxury Sedan Really Feel Like a Sports Car? - Car and Driver', 'More Huawei P10 renders leak showing curved screen, front ... - GSMArena.com', 'Samsung Galaxy S8 to use a heat pipe design similar to the S7 - GSMArena.com', 'Law firm Cogan & Partners merges with New Orleans group - Chron', 'How to figure out if your local Chevy dealer carries the Bolt EV ... - Green Car Reports', ""Bollore's EV venture hits investors - Automotive News Europe"", ""Uber Hires Google's Former Head of Search, Stoking a Rivalry ... - The New York Times""]"
2017-01-21,"['Tesla crash report blames human error - this is a missed opportunity - The Guardian', 'Why Tesla owners love their cars - Business Insider', 'New Tesla Model S 100D version rated at 335 miles of electric range - Green Car Reports', ""Top That! Tesla Sedan Beats Faraday Future's 0-60 Record By A ... - Futurism"", 'Batteries for Tesla and other electric car makers are getting cheaper - Business Insider India', 'Electric power: Clean energy infrastructure driving switch from AC to ... - Robotics and Automation News']"
2017-01-22,"['Tesla Autopilot investigation: what it means for recalls - Business Insider', 'Tesla Quietly Introduces Longest-Range Electric Car on the Market - Fortune', 'Tesla Fixes the Performance Limitation Due to Overheating - The Green Optimistic', 'Installing a hands-free magnetic cell phone mount on a Tesla - TESLARATI', 'Sapateiro Invitational 6 full results: Gordon Ryan comes away ... - Bloody Elbow']"
2017-01-23,"['Elon Musk Says Tesla Aims to Cut Crashes by 90 Percent - IEEE Spectrum', 'Tesla Model S 100D Rated to Travel 335 Miles on a Charge - MotorTrend', 'Tesla Model S And Model X 100D Drop Performance For Greater Range - CarScoops', 'Tesla Usher In Longest Range Model S and Model X Yet With No Fanfair - Torque News', 'Tesla CEO Elon Musk meets with President Trump to talk American ... - Electrek', 'To Squeak Or Not To Squeak — Fixing Model S Squeaks & Creaks - CleanTechnica', 'Arnold Schwarzenegger will now drive a new custom all-electric ... - Electrek', ""Doctor calls the Bushes 'the most humble people' - KCRG"", 'Huawei P10 tipped to be the most expensive P-series phone - GSMArena.com', 'Apple chooses Wistron for the primary iPhone manufacturer in India - GSMArena.com', 'Apple iCar likely to be launched in 2020; will it give Tesla a run for ... - IBTimes India', 'There’s a free iPhone app that will do your homework for you - Yahoo! Voices']"
2017-01-24,"[""Elon Musk confirms that Tesla's logo is the cross section of an ... - Electrek"", 'Teardown of new 100 kWh Tesla battery pack reveals new cooling ... - Electrek', ""Why a German minister's new Tesla is raising eyebrows - The Christian Science Monitor"", 'Photos: Gov. Jay Inslee Rides in Semi-Autonomous Car | The Daily ... - Centralia Chronicle', ""Elon Musk says Rex Tillerson could be 'excellent' Secretary of State - Business Insider"", 'Montana charging stations give electric vehicles room to roam - Independent Record', ""The unsung hero behind America's first subway - The Boston Globe"", 'Paris bans old diesels from the capital using color-coded stickers - Autoweek', ""Vertu's latest Constellation smartphone has high-end specs, dual ... - GSMArena.com"", ""'They love it': Rodents target eco-friendly wiring insulation in vehicles - CTV News""]"
2017-01-25,"[""Tesla changes the branding of the Model 3 to remove the '3 lines ... - Electrek"", 'Elon Musk: “Without tunnels, we will all be in traffic hell forever” - The Verge', 'Elon Musk says he’ll start digging a tunnel from SpaceX HQ next month - TechCrunch', ""Elon Musk: I'm Trump's voice of reason - BBC"", 'ROUND UP: Tesla-SCE 80MWh Powerpack station, Eguana-LG ... - Energy-Storage.news', '2017 Tesla Model S review: the future of driving - The Telegraph', 'New longest-range Tesla can go from Boston to Philly - USA TODAY', 'Tesla charging stations power up in Nebraska - NTV', 'Tesla’s VP of Autopilot Software opens up on why he left Apple - TESLARATI', 'Ministry: Vaasa competing for Tesla Gigafactory in Finland - YLE News', ""The 2017 Ford Mustang Isn't Safe Enough For Euro NCAP - Road & Track"", 'Samsung is developing a phone with Tizen 3.0 - GSMArena.com', 'Samsung Galaxy Tab S3 visits GFXBench, Snapdragon 820 inside - GSMArena.com', 'Porsche Design Huawei Mate 9 up for preorder, shipping date ... - GSMArena.com', 'BMW, Nissan fund EVgo fast-charging network expansion: 670 dual ... - Green Car Reports', 'Email Preference Center: Is Your Business Ready for One? - Business 2 Community']"
2017-01-26,"[""The Odd Couple Of Elon Musk And Donald Trump Helps Tesla Shares - Investor's Business Daily"", 'Tesla sues former Autopilot head for breach of contract and ... - The Verge', 'Tesla is suing startup founded by ex-Google exec Chris Urmson - Business Insider', 'Tesla starts promoting Model 3 in store with new teaser video - Electrek', 'Tesla Supercharger in Aberdeen will remain open after conflict of interest determination - TESLARATI', ""Tesla's new Enhanced Autopilot has a known bug causing wobbly ... - Electrek"", 'Tesla opens on Rt. 22 in Springfield | Union, NJ News TAPinto - TAPinto.net', 'Tesla Owner Stuck In The Desert for Lack of Cellphone Signal - The Green Optimistic', ""The world's largest battery storage substation is now live - Computerworld"", 'Galaxy S8 live images leak alongside full spec details and launch date - GSMArena.com', 'Huawei P10 may get green and purple versions - GSMArena.com', 'Teenage innovators are improving the bathroom selfie, one random ... - Mashable']"
2017-01-27,"['Elon Musk joins a second Trump team - The Mercury News', 'Musk joins Trump’s manufacturing council in effort to promote U.S. job growth - TESLARATI', 'What is Aurora Innovation, the Self-Driving Startup Being Sued by ... - Inverse', ""Briggs: Indiana bill that doesn't mention Tesla is all about Tesla - IndyStar"", 'Tesla officially launches in Portugal today, opens Model S/X orders ... - Electrek', 'Tesla opens on Rt. 22 in Springfield | Cranford, NJ News TAPinto - TAPinto.net', 'Tesla, Edison, Marconi: The Battle to Light the Night and Transmit ... - Dan’s Papers', ""Tesla CEO Elon Musk joins President Trump's new manufacturing ... - Electrek"", 'Tesla STEM team vies for national award with ‘Take Me There’ app - Redmond Reporter', 'Big in Business: Elon Musk, Trump whisperer - Axios', 'Tesla Model S rival - 218mph hybrid can take you from London to Madrid on one tank - Express', ""Fat camp and a dead dad: 'This Is Us' is your cry of the week - Mashable"", ""Here's the New BMW Z5 Doing Donuts on a Frozen Lake - Road & Track"", 'BMW 330e Proves to Be a Businesslike Plug-in Hybrid - Consumer Reports']"
2017-01-28,"['Tesla opens on Rt. 22 in Springfield | Springfield, NJ News TAPinto - TAPinto.net', ""Tesla launches its HEPA air filter with 'Bioweapon Defense Mode' as ... - Electrek"", 'The Alta Motors Redshift ST concept is a street tracker dream that could come true - Autoblog']"
2017-01-29,"['UW-Madison team wins Innovation Award in Hyperloop competition - University of Wisconsin-Madison', 'Tesla founders-backed Alta Motors unveils new electric motorcycle - Electrek', ""B.C. motorcyclists want 'lane splitting' legal - CTV News"", 'Uber CEO slammed for Trump connection after immigrant ban - CBS News']"
2017-01-30,"['Tesla Gives the California Power Grid a Battery Boost (Published ... - The New York Times', ""Tesla Model S Acceleration - World's Fastest Four-Door Quarter Mile - Road & Track"", 'Tesla drummer talks partying, process - Battle Creek Enquirer', 'Faceoff: Tesla Model X vs. 1912 Detroit Electric - The Globe and Mail', '3 Startups That May Benefit from the Tesla PowerWall - Forbes', 'Tesla is working on opening up its service tools and helping owners ... - Electrek', '13 Elon Musk Quotes That Will Make You Excited for the Future - Tech.co', '7 Well-Known Tech Firms Founded by Immigrants or Their Children - Fortune', 'Nokia and Orange will develop 5G networks together - GSMArena.com', 'Ferrari LaFerrari - How Variable Length Engine Intake Works - Road & Track', 'Rolling Coal Called Offensive, Unsafe and Harmful in Bill Calling ... - AutoGuide', 'Top 50 most innovative companies of the globe - Consultancy.uk', 'We Hope the New Toyota Supra Looks Exactly Like These Fan ... - Road & Track']"
2017-01-31,"['With software updates, Tesla upends product life cycle in the car ... - London School of Economics and Political Science', ""Tesla fans say they are canceling Model 3 orders over Musk's Trump ... - CNBC"", 'Elon Musk: A Bigger Fan Of Thomas Edison Than Nikola Tesla - InsideEVs', 'Elon Musk reveals plans to install computers directly into human BRAINS... - The Sun', 'A look at the new battery storage facility in California built with Tesla Powerpacks - Ars Technica', 'Driving the Tesla Model S through the countryside—watch out for autopilot - Ars Technica', ""Does anyone here know how to park? Bedlam reigns in Tesla's ... - SFGATE"", 'Tesla, BMW fall short in electric vehicle crash tests - BMWBLOG', 'Tesla, Greensmith, AES Deploy Aliso Canyon Battery Storage in Record Time - Greentech Media News', 'Tesla unveils charging stations at Casey Jones Village - The Jackson Sun', 'Tesla Factory parking lot is a hot mess, according to hilarious ... - Curbed SF', 'I Drove A Bolt Today - CleanTechnica', 'Samsung sends invitations for MWC press event, teasing Galaxy ... - GSMArena.com', 'Audi tells dealerships to get behind electric vehicles because it will ... - Electrek', 'McLaren Teams up With BMW to Develop Its Next Engine - Road & Track', 'Nissan Leaf Hearse Is The Green Way To Die [w/Video] - CarScoops', 'Why Are People Covering Their Trucks in Bedliner? - AutoGuide', '2017 BMW 5-series Touring joins high-tech 5-series saloon - Evo', 'A Polluted Site, and a Potential Mess for the Trump Organization ... - The New York Times']"
2017-02-01,"['Tesla S Falls Short of Luxury Rivals on Tougher Safety Test ... - The New York Times', 'Tesla Model S scores well in crash safety tests but falls short of top standard - CBC.ca', 'Tesla, BMW electrics fall short of highest crash-test rating - Phys.org', 'Tesla Motors changes name - Business Insider', 'Tesla Motors changes company name to just Tesla - The Verge', 'Tesla Motors Is Officially Changing Its Name - Inc.', ""Tesla's 80 MWh battery storage facility starts operations for SoCal ... - Utility Dive"", 'Florida Highway Patrol releases full investigation into fatal Tesla ... - The Verge', 'Tesla had 4 self-driving Model X prototypes last year and drove over ... - Electrek', ""A Skateboard Startup's Radical Ambition: Disrupting Urban Transit - Fast Company"", ""Eco-friendly TreeHouse store's firsts include Tesla supercharger and more - The Dallas Morning News"", 'GM officially kills the Chevy Spark EV compliance car in favor of Bolt ... - Electrek', 'Ford seen benefiting from Trump-proposed U.S. border tax but ... - The Japan Times', 'Huawei hires former ""I\'m a Mac"" actor for Mate 9 commercial - GSMArena.com', 'Gallery: the best images from Top Gear magazine - Top Gear', 'Maserati Ghibli Getting A Nose Job Next Year - CarScoops', 'The Largest U.S. Home Rental Firm Just Raised a Reported $1.5 Billion in Its IPO - Fortune', 'New Galaxy S8 and S8 Plus schematics come with precise ... - GSMArena.com']"
